,ATL,BOS,CLT,DEN,DFW,DTW,EWR,IAD,JFK,LAX,LGA,MIA,OAK,ORD,PHL,SFO
ATL,,5.216666667,4.733333333,5.466666667,2.566666667,4.55,11.31666667,1.766666667,8.75,9.316666667,2.233333333,1.95,12.51666667,7.05,2.15,9.383333333
BOS,2.983333333,,2.533333333,7.083333333,7.166666667,9.916666667,1.4,4.433333333,1.2,10.58333333,9.216666667,3.65,13.55,2.95,1.616666667,9.5
CLT,7,3.983333333,,4.016666667,9.9,6.166666667,5.033333333,5.766666667,4.483333333,7.816666667,5.733333333,2,0.4,7.95,8.983333333,5.65
DEN,2.866666667,3.866666667,8.633333333,,1.95,7.5,8.883333333,8.416666667,8.433333333,2.583333333,7.583333333,5.466666667,7.683333333,22.33333333,5.833333333,4.566666667
DFW,2.116666667,5.316666667,2.45,7.266666667,,4.533333333,3.216666667,4.45,7.25,18.05,3.3,13.8,6.116666667,8.566666667,3.083333333,3.866666667
DTW,2.183333333,1.9,6.366666667,5.666666667,7.666666667,,10.6,1.483333333,4.666666667,11.03333333,1.816666667,6.533333333,19.2,1.433333333,1.65,7.516666667
EWR,4.583333333,1.45,9.5,4.5,6.816666667,1.933333333,,10.81666667,,10.35,1.383333333,5.95,16.08333333,4.4,10.41666667,10.03333333
IAD,9.816666667,5.616666667,1.516666667,7.1,12.45,6.333333333,4.933333333,,6.3,10.41666667,9.55,6.8,13.05,11.5,5.866666667,9.45
JFK,2.516666667,8.716666667,3.916666667,10.5,6.05,12.83333333,,4.4,,9.2,,3.133333333,16.16666667,6.183333333,15.08333333,10.76666667
LAX,6.333333333,10.91666667,4.583333333,2.4,5.7,14.66666667,7.216666667,8.416666667,5.383333333,,11.78333333,8.333333333,7.683333333,4.066666667,9.233333333,1.466666667
LGA,5.166666667,1.516666667,3.55,4.516666667,4,4.616666667,,8.366666667,,8.466666667,,3.266666667,12.35,2.65,5.35,8.783333333
MIA,7.133333333,6.1,7.916666667,4.35,9.616666667,6.266666667,7.516666667,5.5,2.9,11.31666667,2.95,,0.45,5.266666667,6.3,10.45
OAK,13.7,13.1,18.25,8.083333333,5.1,7.65,5.333333333,18.48333333,10.4,7.666666667,18.56666667,18.56666667,,11.11666667,17.5,8.433333333
ORD,8.116666667,5.216666667,7.933333333,2.75,6.25,1.25,2,7.583333333,8.666666667,4.5,2.25,5.383333333,11.78333333,,10.28333333,8.566666667
PHL,2.133333333,6.3,10.5,7.6,11.85,1.7,5.933333333,5.5,7.966666667,8.95,10.26666667,2.916666667,18.9,4.583333333,,6.516666667
SFO,6.633333333,5.55,6.6,9.516666667,7.3,4.433333333,7.5,9.666666667,13.16666667,5.5,7.066666667,9.3,4.7,6.4,7.25,
